seed,variant,rho_struct,rho_u1,rho_u2,ACC_oracle,ACC_emergent,accuracy_gap,n_repr_crystallized,gate1_pass
0,multiplicative,0.48582774196003925,0.9747663188136545,0.021364132389826915,0.9237500000000001,0.73375,0.19000000000000006,145,False
0,additive,0.5024044425230355,0.9721524704616413,0.02338063127999594,0.9237500000000001,0.736875,0.18687500000000012,145,False
0,union,0.5040799453968414,0.9726498172233999,0.025482910264016105,0.9237500000000001,0.71875,0.20500000000000007,145,False
0,behavior_first,0.36797464454317064,0.9468624542946791,0.07624294745809453,0.9237500000000001,0.729375,0.19437500000000008,145,False
1,multiplicative,0.5613016572222462,0.985377814786846,0.12454357755213301,0.885625,0.735625,0.15000000000000002,122,False
1,additive,0.5549854858372736,0.9803741958521114,0.1191466203017791,0.885625,0.7262500000000001,0.15937499999999993,122,False
1,union,0.5508436830176702,0.9835329025290664,0.09248406035376526,0.885625,0.734375,0.15125,122,False
1,behavior_first,0.4938667190507224,0.9621348537093111,0.08573686377815602,0.885625,0.7106250000000001,0.17499999999999993,122,False
2,multiplicative,0.48742686035487254,0.9761332397392655,-0.08335643561617072,0.88125,0.7493749999999999,0.13187500000000008,155,False
2,additive,0.4177103786565044,0.9729029597308488,-0.005008978494063669,0.88125,0.74875,0.13249999999999995,155,False
2,union,0.4903701616038232,0.973426080200016,-0.03833248905947031,0.88125,0.739375,0.14187499999999997,155,False
2,behavior_first,0.40449542113032955,0.9528074891336357,0.007575691076425487,0.88125,0.784375,0.09687499999999993,155,False
3,multiplicative,0.5305327662710115,0.9824129271659958,-0.04784146934097596,0.930625,0.745,0.18562500000000004,128,False
3,additive,0.5152873190367304,0.9774457327163202,-0.08174603818484204,0.930625,0.755625,0.17500000000000004,128,False
3,union,0.5319223912049839,0.9821498116403867,-0.07739307626285546,0.930625,0.75,0.18062500000000004,128,False
3,behavior_first,0.39281002678214083,0.947818124519307,-0.09623961468841385,0.930625,0.7518750000000001,0.17874999999999996,128,False
4,multiplicative,0.548179626721017,0.9772743990792406,0.024048073926460772,0.906875,0.7525,0.15437500000000004,138,False
4,additive,0.48673628663228413,0.9787391114860048,0.003968076275374492,0.906875,0.7662500000000001,0.1406249999999999,138,False
4,union,0.5346096845597508,0.9812326392819001,0.0015702524060145701,0.906875,0.77,0.13687499999999997,138,False
4,behavior_first,0.45100434207082435,0.9600520544665871,0.05655575379579452,0.906875,0.7887500000000001,0.11812499999999992,138,False
