seed,n_total,n_cryst,n_basins,n_boundary,n_interior,compression_ratio,ACC_full,ACC_compressed,ACC_oracle,ACC_delta
0,67,55,2,50,5,0.09090909090909091,0.9724999999999999,0.97,0.9237500000000001,-0.0024999999999999467
1,71,53,2,44,9,0.16981132075471697,0.928125,0.9312499999999999,0.885625,0.0031249999999999334
2,75,57,2,47,10,0.17543859649122806,0.963125,0.94,0.88125,-0.023125000000000062
3,69,53,2,48,5,0.09433962264150944,0.963125,0.9593750000000001,0.930625,-0.00374999999999992
4,70,52,2,44,8,0.15384615384615385,0.9693750000000001,0.9624999999999999,0.906875,-0.0068750000000001865
